rank,stress_cap,derisk_cap,panic_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio,robust_score
103,0.16,0.28,0.12,0.95,1.7910137286739896,1.0,27.41398436393134,1.035310316512837,-0.109123788781743,-0.2535937046373705,-0.26054622201572375,0.110876211218257,0.012406295362629494,0.010453777984276269,0.010453777984276269,105.21735510821159,80.28199287126108
104,0.16,0.28,0.14,0.95,1.7910137286739896,1.0,27.41398436393134,1.035310316512837,-0.109123788781743,-0.2535937046373705,-0.26054622201572375,0.110876211218257,0.012406295362629494,0.010453777984276269,0.010453777984276269,105.21735510821159,80.28199287126108
105,0.14,0.28,0.08,0.95,1.7910137286739896,1.0,27.244771516608346,1.0458770098772618,-0.09614134693259013,-0.22549466474687874,-0.26054622201572375,0.12385865306740987,0.04050533525312128,0.010453777984276269,0.010453777984276269,104.56790087312855,79.79016624506946
106,0.14,0.28,0.1,0.95,1.7910137286739896,1.0,27.244771516608346,1.0458770098772618,-0.09614134693259013,-0.22549466474687874,-0.26054622201572375,0.12385865306740987,0.04050533525312128,0.010453777984276269,0.010453777984276269,104.56790087312855,79.79016624506946
107,0.14,0.28,0.12,0.95,1.7910137286739896,1.0,27.244771516608346,1.0458770098772618,-0.09614134693259013,-0.22549466474687874,-0.26054622201572375,0.12385865306740987,0.04050533525312128,0.010453777984276269,0.010453777984276269,104.56790087312855,79.79016624506946
108,0.14,0.28,0.14,0.95,1.7910137286739896,1.0,27.244771516608346,1.0458770098772618,-0.09614134693259013,-0.22549466474687874,-0.26054622201572375,0.12385865306740987,0.04050533525312128,0.010453777984276269,0.010453777984276269,104.56790087312855,79.79016624506946
109,0.12,0.28,0.08,0.95,1.7910137286739896,1.0,27.067960542418955,1.055039510820294,-0.08299308406765071,-0.19645453860621476,-0.26054622201572375,0.1370069159323493,0.06954546139378526,0.010453777984276269,0.010453777984276269,103.88928433890484,79.27587950395682
110,0.12,0.28,0.1,0.95,1.7910137286739896,1.0,27.067960542418955,1.055039510820294,-0.08299308406765071,-0.19645453860621476,-0.26054622201572375,0.1370069159323493,0.06954546139378526,0.010453777984276269,0.010453777984276269,103.88928433890484,79.27587950395682
111,0.12,0.28,0.12,0.95,1.7910137286739896,1.0,27.067960542418955,1.055039510820294,-0.08299308406765071,-0.19645453860621476,-0.26054622201572375,0.1370069159323493,0.06954546139378526,0.010453777984276269,0.010453777984276269,103.88928433890484,79.27587950395682
112,0.12,0.28,0.14,0.95,1.7910137286739896,1.0,27.067960542418955,1.055039510820294,-0.08299308406765071,-0.19645453860621476,-0.26054622201572375,0.1370069159323493,0.06954546139378526,0.010453777984276269,0.010453777984276269,103.88928433890484,79.27587950395682
