rank,stress_cap,derisk_cap,panic_cap,overall_scale,risk_on_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
363,0.16,0.36,0.06,1.01,0.98,1.01,0.85,1.6564816868898076,1.0,26.48872123187177,1.036332849606884,-0.10963284352260327,-0.25214760381558565,-0.2692192866135935,0.11036715647739673,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,98.39087520460836
364,0.16,0.36,0.06,1.01,0.98,1.01,0.87,1.6564816868898076,1.0,26.48872123187177,1.036332849606884,-0.10963284352260327,-0.25214760381558565,-0.2692192866135935,0.11036715647739673,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,98.39087520460836
365,0.16,0.36,0.07,1.01,0.98,1.01,0.8,1.6564816868898076,1.0,26.48872123187177,1.036332849606884,-0.10963284352260327,-0.25214760381558565,-0.2692192866135935,0.11036715647739673,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,98.39087520460836
366,0.16,0.36,0.07,1.01,0.98,1.01,0.83,1.6564816868898076,1.0,26.48872123187177,1.036332849606884,-0.10963284352260327,-0.25214760381558565,-0.2692192866135935,0.11036715647739673,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,98.39087520460836
367,0.16,0.36,0.07,1.01,0.98,1.01,0.85,1.6564816868898076,1.0,26.48872123187177,1.036332849606884,-0.10963284352260327,-0.25214760381558565,-0.2692192866135935,0.11036715647739673,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,98.39087520460836
368,0.16,0.36,0.07,1.01,0.98,1.01,0.87,1.6564816868898076,1.0,26.48872123187177,1.036332849606884,-0.10963284352260327,-0.25214760381558565,-0.2692192866135935,0.11036715647739673,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,98.39087520460836
369,0.16,0.38,0.06,0.98,1.0,1.01,0.8,1.6553581244342923,1.0,26.486887275168762,1.0395123713329402,-0.1096286314484245,-0.25221265782254776,-0.2669207311340466,0.1103713685515755,0.013787342177452255,0.004079268865953445,0.004079268865953445,99.23128549302207
370,0.16,0.38,0.06,0.98,1.0,1.01,0.83,1.6553581244342923,1.0,26.486887275168762,1.0395123713329402,-0.1096286314484245,-0.25221265782254776,-0.2669207311340466,0.1103713685515755,0.013787342177452255,0.004079268865953445,0.004079268865953445,99.23128549302207
371,0.16,0.38,0.06,0.98,1.0,1.01,0.85,1.6553581244342923,1.0,26.486887275168762,1.0395123713329402,-0.1096286314484245,-0.25221265782254776,-0.2669207311340466,0.1103713685515755,0.013787342177452255,0.004079268865953445,0.004079268865953445,99.23128549302207
372,0.16,0.38,0.06,0.98,1.0,1.01,0.87,1.6553581244342923,1.0,26.486887275168762,1.0395123713329402,-0.1096286314484245,-0.25221265782254776,-0.2669207311340466,0.1103713685515755,0.013787342177452255,0.004079268865953445,0.004079268865953445,99.23128549302207
